	DPPH	ABTS	ReducingPower	HydroxylRadical	SuperoxideRadical	PlasmidRelaxationAssay
SA1.2020	1.926347166	0.680830204	1.417325371	-0.080997098	0.555326342	-1.075700127
SA2.2020	0.486242303	0.507504096	-0.320770548	2.700206612	-0.163602366	-1.472881713
SA3.2020	0.999383116	0.980211663	-0.405555714	-0.186566348	-0.412462304	-0.777813938
SB1.2020	0.171736643	-0.784563253	0.332075236	-0.346740384	0.80418628	-0.082746164
SB2.2020	0.461412909	0.286907232	-0.778610448	-0.062795503	0.334117509	-0.479927749
SB3.2020	1.082147764	1.602609959	-0.982094848	0.10829949	1.080697322	0.115844629
SA1.2019	-0.821439125	0.854156312	2.112563738	-1.224057261	-1.159042117	0.314435422
SA2.2019	-1.28492115	-0.351247984	0.713608487	0.162904275	-1.407902055	1.704570971
SA3.2019	-0.821439125	-0.335491065	-0.193592797	0.232070336	-1.463204263	1.903161764
SB1.2019	-0.597974577	-0.430032578	0.043805669	0.297596078	-0.274206783	-0.380632353
SB2.2019	-0.79660973	-1.934818332	-0.693825281	-0.259372728	1.689021614	0.215140025
SB3.2019	-0.804886195	-1.076066253	-1.244928865	-1.340547468	0.417070821	0.016549233
