	DPPH	ABTS	ReducingPower	HydroxylRadical	SuperoxideRadical	PlasmidRelaxationAssay
RA1.2019	-0.276255027	0.285791093	0.004572716	0.349219271	-1.290015873	-0.196088712
RA2.2019	-0.220973309	-0.286701981	-0.226270617	1.898222624	-0.759645321	-0.549048394
RA3.2019	-0.362863051	-0.837333745	-0.321824619	0.01096204	0.566281058	0.392177424
RB1.2019	0.202853191	1.74913258	2.681976948	-1.17293827	-0.262422929	0.862790333
RB2.2019	-0.465134228	0.876046483	-0.462790425	-0.993071329	-0.428163726	0.509830651
RB3.2019	-0.017352317	0.024821697	-0.615109182	-1.320590236	-1.124275075	0.392177424
RA1.2020	-0.24032191	-0.469790459	-0.213971587	0.768013938	0.168503144	1.804016151
RA2.2020	-0.433807921	-0.917947329	-0.558344428	-0.568907499	-0.726497162	-0.666701621
RA3.2020	-0.431043835	-0.976699601	-0.544153239	0.617677391	-0.063533972	-1.254967757
RB1.2020	3.110671527	1.852973806	1.343274832	-0.418570952	0.40054026	1.098096788
RB2.2020	-0.396953443	-0.725294528	-0.471305138	-0.407832627	1.69331848	-1.13731453
RB3.2020	-0.468819676	-0.574998017	-0.616055261	1.237815649	1.825911117	-1.254967757
